name,polarity,factual,domain
Il Giornale,Right-Center,Mixed,
In Homeland Security,Right-Center,High, https://inhomelandsecurity.com
India Times,Right-Center,Mixed, https://www.indiatimes.com/
India Today,Right-Center,Mixed, https://www.indiatoday.in/
India.com,Right-Center,Mostly Factual, https://www.india.com/
Inforum (The Forum of Fargo-Moorhead),Right-Center,High, https://www.inforum.com
InsideSources,Right-Center,Mostly Factual, http://www.insidesources.com
Institute for Humane Studies,Right-Center,High, https://theihs.org/
Irish Independent,Right-Center,Mostly Factual, https://www.independent.ie/
Israel Hayom,Right-Center,High, https://www.israelhayom.com/
ITV News,Right-Center,High, https://www.itv.com/news
Jerusalem Post,Right-Center,Mostly Factual, https://www.jpost.com/
Jewish Breaking News,Right-Center,Mixed, http://jewishbreakingnews.com
Jewish Jounral,Right-Center,High, https://jewishjournal.com/
Jewish News Syndicate,Right-Center,High, https://www.jns.org
Just Facts,Right-Center,Mostly Factual, https://www.justfacts.com/
Just Facts Daily,Right-Center,Mixed, http://www.justfactsdaily.com/
Kalamazoo News - WWMT,Right-Center,High, https://wwmt.com/
KATU2,Right-Center,High, https://katu.com/
Knewz,Right-Center,Mostly Factual, https://knewz.com/
Korean Herald,Right-Center,Mixed, http://www.koreaherald.com/
KUTV Salt Lake City,Right-Center,High, http://kutv.com/
Laredo Morning Times,Right-Center,High, https://www.lmtonline.com
Las Vegas Review Journal,Right-Center,High, http://www.reviewjournal.com/
Learn Liberty,Right-Center,High, https://www.learnliberty.org/
Leicester Mercury,Right-Center,High, https://www.leicestermercury.co.uk/
Lexington Institute,Right-Center,High, https://www.lexingtoninstitute.org/
Libertarianism.org,Right-Center,High, https://www.libertarianism.org
Liberty Viral,Right-Center,High, https://libertyviral.com/
ListVerse,Right-Center,Mostly Factual, https://listverse.com/
London Broadcasting Company (LBC),Right-Center,Mixed, https://www.lbc.co.uk/
London Evening Standard,Right-Center,Mostly Factual, https://www.standard.co.uk/
London Free Press,Right-Center,Mostly Factual, https://lfpress.com
Los Angeles Daily News,Right-Center,High, http://www.dailynews.com/
Lubbock Avalanche Journal,Right-Center,High, https://www.lubbockonline.com/
Lynx Media,Right-Center,High, https://lynx.media/
Mackinac Center for Public Policy,Right-Center,Mostly Factual, https://www.mackinac.org/
Malaysia Today,Right-Center,Mixed, https://www.malaysia-today.net/
Manila Times,Right-Center,Mixed, https://www.manilatimes.net
Marginal Revolution,Right-Center,High, https://marginalrevolution.com/
MarketWatch,Right-Center,High, https://www.marketwatch.com/
Mercatus,Right-Center,High, https://www.mercatus.org
Montreal Gazette,Right-Center,High, https://montrealgazette.com/
Mountain Democrat,Right-Center,High, https://www.mtdemocrat.com
MyNorthwest,Right-Center,High, http://mynorthwest.com
National Affairs,Right-Center,High, https://www.nationalaffairs.com
National Interest,Right-Center,High, https://nationalinterest.org/
National Post,Right-Center,High, https://nationalpost.com
Netherlands Radio and Television Association,Right-Center,High, https://nos.nl
New York Observer,Right-Center,High, Observer.com
New York Post,Right-Center,Mixed, https://nypost.com/
News-Gazette,Right-Center,High, http://www.news-gazette.com/
News.com.au,Right-Center,Mostly Factual, https://www.news.com.au/
Newsline,Right-Center,Mixed, https://newsline.com/
NHK-Nippon Hoso Kyokai,Right-Center,High, https://www2.nhk.or.jp/
NJ1015.com,Right-Center,High, https://nj1015.com/
Northwest Arkansas Democrat-Gazette,Right-Center,High, https://www.nwaonline.com/
Open Doors,Right-Center,Mixed, https://www.opendoorsusa.org
Orange County Register,Right-Center,High, https://www.ocregister.com/
Oregonian,Right-Center,High, https://www.oregonlive.com
Ottawa Citizen,Right-Center,High, https://ottawacitizen.com
Ottawa Sun,Right-Center,High, https://ottawasun.com/
Pacific Research Institute,Right-Center,Mostly Factual, https://www.pacificresearch.org/
Parkersburg News and Sentinel,Right-Center,High, https://www.newsandsentinel.com/
Peninsula Daily News,Right-Center,High, https://www.peninsuladailynews.com/
Pittsburgh Post-Gazette,Right-Center,High, http://www.post-gazette.com/
Pittsburgh Tribune Review,Right-Center,High, https://triblive.com/
PolicyEd.org,Right-Center,High, https://www.policyed.org/
Politisite,Right-Center,High, https://politisite.com/
Post-Bulletin,Right-Center,High, https://www.postbulletin.com/
R Street Institute,Right-Center,High, http://www.rstreet.org/
Rasmussen Reports,Right-Center,High, http://www.rasmussenreports.com/
Reagan Battalion,Right-Center,Mixed, https://www.intellihub.com/
Real Clear Defense,Right-Center,Mostly Factual, https://www.realcleardefense.com/
Real Clear Investigations,Right-Center,Mostly Factual, https://www.realclearinvestigations.com/
Real Clear Policy,Right-Center,Mostly Factual, https://www.realclearpolicy.com/
Real Clear Politics,Right-Center,Mostly Factual, https://www.realclearpolitics.com
RealClearReligion,Right-Center,Mostly Factual, https://www.realclearreligion.org
Reason,Right-Center,High, https://reason.com/
Regina Leader-Post,Right-Center,High, https://leaderpost.com
Regulation Magazine,Right-Center,High, http://www.cato.org/regulation/
Remington Research Group,Right-Center,High, https://remingtonresearchgroup.com
Republic World,Right-Center,Mixed, http://www.republicworld.com/
Richmond Times-Dispatch,Right-Center,High, https://www.richmond.com/
Salem Radio Network News,Right-Center,High, https://www.srnnews.com/
San Bernadino Sun,Right-Center,High, https://www.sbsun.com
Saskatoon StarPhoenix,Right-Center,High, https://thestarphoenix.com
Savannah Morning News,Right-Center,High, https://www.savannahnow.com/
Scope Ratings,Right-Center,Mostly Factual, https://www.scoperatings.com/
SOFREP,Right-Center,Mostly Factual, https://sofrep.com/
Student News Daily,Right-Center,Mostly Factual, https://www.studentnewsdaily.com/
Tallahasee Democrat,Right-Center,High, http://www.tallahassee.com/
Tampa Tribune,Right-Center,High, http://www.tbo.com/
Tax Foundation,Right-Center,Mostly Factual, http://taxfoundation.org/
Tharawat Magazine,Right-Center,High, https://www.tharawat-magazine.com/
The Algemeiner Journal,Right-Center,High, https://www.algemeiner.com/
The American Conservative,Right-Center,Mostly Factual, https://www.theamericanconservative.com
The American Interest,Right-Center,High, https://www.the-american-interest.com/
The Augusta Chronicle,Right-Center,High, http://chronicle.augusta.com/
The Australian,Right-Center,Mixed, https://www.theaustralian.com.au/
The Australian Financial Review,Right-Center,High, https://www.afr.com/
The Brunswick News,Right-Center,High, https://thebrunswicknews.com/
The Bulwark,Right-Center,High, https://thebulwark.com/
The Center Square,Right-Center,Mostly Factual, https://www.thecentersquare.com/
The Chronicle Herald,Right-Center,Mixed, http://thechronicleherald.ca/
The Courier Mail,Right-Center,High, http://www.couriermail.com.au/
The Dispatch,Right-Center,High, https://thedispatch.com/
The Durango Herald,Right-Center,High, https://durangoherald.com
The EC Journal,Right-Center,Mixed, https://www.theecjournal.com/
The Fiscal Times,Right-Center,High, http://www.thefiscaltimes.com/
The Gazette (Cedar Rapids),Right-Center,High, http://www.thegazette.com/
The Globe and Mail (Toronto),Right-Center,High, https://www.theglobeandmail.com/
The Independent Institute,Right-Center,Mostly Factual, https://www.independent.org/
The Jack News,Right-Center,High, https://www.thejacknews.com
The Japan News,Right-Center,High, https://the-japan-news.com/
The Jerusalem Report,Right-Center,High, http://www.jpost.com/Jerusalem-Report
The Jewish Press,Right-Center,High, https://www.jewishpress.com/
The Journal (West Virginia),Right-Center,High, https://www.journal-news.net/
The Ledger,Right-Center,High, https://www.theledger.com
The Libertarian Republic,Right-Center,Mostly Factual, https://thelibertarianrepublic.com/
The Nation Pakistan,Right-Center,High, http://nation.com.pk/
The New Atlantis,Right-Center,High, http://www.thenewatlantis.com/
The News Lens,Right-Center,High, https://international.thenewslens.com/
The Objective Standard,Right-Center,High, https://www.theobjectivestandard.com
The Oklahoman,Right-Center,High, https://oklahoman.com/
"The Post-Journal (Jamestown, New york)",Right-Center,High, https://www.post-journal.com
The Press-Enterprise,Right-Center,High, http://www.pe.com/
The Quint,Right-Center,Mixed, https://www.thequint.com/
The Sorrentino,Right-Center,High, https://www.thesorrentino.com
The Spectator (uk),Right-Center,Mostly Factual, https://www.spectator.co.uk/
The Spectator (USA),Right-Center,Mostly Factual, https://spectator.us
The Spokesman-Review,Right-Center,High, https://www.spokesman.com/
The Standard,Right-Center,Mixed, https://www.standardmedia.co.ke/
The Straits Times,Right-Center,Mostly Factual, https://www.straitstimes.com
The Sumter Item,Right-Center,High, https://www.theitem.com/
The Times Herald (Port Huron),Right-Center,High, https://www.thetimesherald.com
The Times of India,Right-Center,Mixed, https://timesofindia.indiatimes.com
The Times UK and Sunday Times,Right-Center,High, https://www.thetimes.co.uk/
The Washington Institute for Near East Policy,Right-Center,Mixed, https://www.washingtoninstitute.org 
The West Australian,Right-Center,High, https://thewest.com.au/
The Yomiuri Shimbun,Right-Center,High, https://www.yomiuri.co.jp/
TheStreet,Right-Center,High, https://www.thestreet.com/
Times News (Pennsylvania),Right-Center,High, https://www.tnonline.com
Times of South Africa,Right-Center,Mixed, https://www.timeslive.co.za/
To Vima,Right-Center,Mixed, https://www.tovima.gr/
Toledo Blade,Right-Center,High, https://www.toledoblade.com/
Topeka Capital-Journal,Right-Center,High, http://www.cjonline.com/
Transparent California,Right-Center,Mostly Factual, https://transparentcalifornia.com/
TRIBUNnews.com,Right-Center,Mixed, tribunnews.com
ValueWalk,Right-Center,High, http://www.valuewalk.com/
Vancouver Sun,Right-Center,High, https://vancouversun.com/
Wall Street Journal,Right-Center,Mostly Factual, https://www.wsj.com/
Waterbury Republican-American,Right-Center,High, https://www.rep-am.com/
West Central Tribune,Right-Center,High, https://www.wctrib.com/
Wichita Eagle,Right-Center,High, https://www.kansas.com/
Williamsport Sun-Gazette,Right-Center,High, https://www.sungazette.com
Willoughby News-Herald,Right-Center,High, https://www.news-herald.com/
Windsor Star,Right-Center,High, https://windsorstar.com/
WLOS (ABC13News),Right-Center,High, https://wlos.com/
WPEC - CBS12.com,Right-Center,High, https://cbs12.com
Yankee Institute for Public Policy,Right-Center,High, https://yankeeinstitute.org
Zebra Fact Check,Right-Center,High, https://www.zebrafactcheck.com
